id	name	old_id
1	AgriculturalExhibitionCenter	1
2	Andingmen	2
3	AnheqiaoNorth	3
4	Anzhenmen	4
5	Babaoshan	5
6	Bagou	6
7	BajiaoAmusementPark	7
8	Baliqiao	8
9	Beigongmen	9
10	BeijingRailwayStation	10
11	BeijingSouthRailwayStation	11
12	BeijingZoo	12
13	Beitucheng	13
14	Beixinqiao	14
15	Beiyuan	15
16	BeiyuanluNorth	16
17	Caishikou	18
18	Changchunjie	19
19	Chaoyangmen	20
20	Chegongzhuang	21
21	Chongwenmen	22
22	Ciqikou	23
23	CommunicationUniversityofChina	26
24	DatunluEast	28
25	Dawanglu	29
26	Dazhongsi	30
27	Dengshikou	31
28	Dongdan	32
29	Dongsi	33
30	DongsiShitiao	34
31	Dongzhimen	35
32	EastGateofPekingUniversity	36
33	ForestParkSouthGate	37
34	Fuchengmen	38
35	Fuxingmen	39
36	Gaobeidian	40
37	Gongyixiqiao	44
38	Gongzhufen	45
39	Guangximen	46
40	Guanzhuang	47
41	Guchenglu	48
42	GulouDajie	49
43	Guomao	50
44	Guoyuan	51
45	HaidianHuangzhuang	52
46	HepingliBeijie	53
47	Hepingmen	54
48	Hepingxiqiao	55
49	Huilongguan	60
50	HuixinxijieBeikou	61
51	HuixinxijieNankou	62
52	Hujialou	63
53	Huoying	64
54	Jiandemen	65
55	Jianguomen	66
56	JiaomenWest	67
57	Jinsong	69
58	Jintaixizhao	70
59	Jishuitan	71
60	Jiukeshu	73
61	Liangmaqiao	74
62	LingjingHutong	76
63	Linheli	77
64	Lishuiqiao	78
65	LishuiqiaoSouth	79
66	Liufang	80
67	Liujiayao	81
68	Liyuan	82
69	Longze	83
70	Majiapu	84
71	MilitaryMuseum	86
72	Mudanyuan	87
73	Muxidi	88
74	Nanlishilu	89
75	NationalLibraryofChina	91
76	OlympicGreen	93
77	OlympicSportsCenter	94
78	Ping'anli	95
79	Pingguoyuan	96
80	Puhuangyu	97
81	Qianmen	98
82	RenminUniversity	100
83	Sanyuanqiao	103
84	Shangdi	106
85	Shaoyaoju	107
86	Shuangjing	108
87	Shuangqiao	109
88	Sihui	110
89	SihuiEast	111
90	Songjiazhuang	112
91	Suzhoujie	114
92	Taiyanggong	115
93	Taoranting	116
94	Terminal2	117
95	Terminal3	118
96	Tian'anmenEast	119
97	Tian'anmenWest	120
98	Tiantandongmen	122
99	Tiantongyuan	123
100	TiantongyuanNorth	124
101	TiantongyuanSouth	125
102	TongzhouBeiyuan	127
103	Tuanjiehu	128
104	Tuqiao	129
105	Wangfujing	130
106	WangjingWest	132
107	Wanshoulu	133
108	Weigongcun	135
109	Wudaokou	136
110	Wukesong	137
111	Xidan	140
112	Xi'erqi	141
113	Xinjiekou	144
114	Xisi	146
115	Xitucheng	147
116	Xiyuan	148
117	Xizhimen	149
118	Xuanwumen	150
119	Yonganli	155
120	YonghegongLamaTemple	156
121	YuanmingyuanPark(OldSummerPalace)	157
122	Yuquanlu	158
123	Zhangzizhonglu	160
124	Zhichunli	161
125	Zhichunlu	162
126	Zhongguancun	163
