station	lines
AgriculturalExhibitionCenter	Line10
Andingmen	Line2
AnheqiaoNorth	Line4
Anzhenmen	Line10
Babaoshan	Line1
Bagou	Line10
BajiaoAmusementPark	Line1
Baliqiao	Batong
Beigongmen	Line4
BeijingRailwayStation	Line2
BeijingSouthRailwayStation	Line4,Line14
BeijingZoo	Line4
Beitucheng	Line8,Line10
Beixinqiao	Line5,AirportExpress
Beiyuan	Line13
BeiyuanluNorth	Line5
Caishikou	Line4,Line7
Changchunjie	Line2
Chaoyangmen	Line2,Line6
Chegongzhuang	Line2,Line6
Chongwenmen	Line2,Line5
Ciqikou	Line5,Line7
CommunicationUniversityofChina	Batong
DatunluEast	Line5,Line15
Dawanglu	Line1,Line14
Dazhongsi	Line13
Dengshikou	Line5
Dongdan	Line1,Line5
Dongsi	Line5,Line6
DongsiShitiao	Line2
Dongzhimen	Line2,Line13,AirportExpress
EastGateofPekingUniversity	Line4
ForestParkSouthGate	Line8
Fuchengmen	Line2
Fuxingmen	Line1,Line2
Gaobeidian	Batong
Gongyixiqiao	Line4
Gongzhufen	Line1,Line10
Guangximen	Line13
Guanzhuang	Batong
Guchenglu	Line1
GulouDajie	Line2,Line8
Guomao	Line1,Line10
Guoyuan	Batong
HaidianHuangzhuang	Line4,Line10
HepingliBeijie	Line5
Hepingmen	Line2
Hepingxiqiao	Line5
Huilongguan	Line13
HuixinxijieBeikou	Line5
HuixinxijieNankou	Line5,Line10
Hujialou	Line6,Line10
Huoying	Line8,Line13
Jiandemen	Line10
Jianguomen	Line1,Line2
JiaomenWest	Line4,Line10
Jinsong	Line10
Jintaixizhao	Line10
Jishuitan	Line2
Jiukeshu	Batong
Liangmaqiao	Line10
LingjingHutong	Line4
Linheli	Batong
Lishuiqiao	Line5,Line13
LishuiqiaoSouth	Line5
Liufang	Line13
Liujiayao	Line5
Liyuan	Batong
Longze	Line13
Majiapu	Line4
MilitaryMuseum	Line1,Line9
Mudanyuan	Line10
Muxidi	Line1
Nanlishilu	Line1
NationalLibraryofChina	Line4,Line9
OlympicGreen	Line8,Line15
OlympicSportsCenter	Line8
Ping'anli	Line4,Line6
Pingguoyuan	Line1
Puhuangyu	Line5,Line14
Qianmen	Line2,Line8
RenminUniversity	Line4
Sanyuanqiao	Line10,AirportExpress
Shangdi	Line13
Shaoyaoju	Line10,Line13
Shuangjing	Line7,Line10
Shuangqiao	Batong
Sihui	Line1,Batong
SihuiEast	Line1,Batong
Songjiazhuang	Line5,Line10
Suzhoujie	Line10
Taiyanggong	Line10
Taoranting	Line4
Terminal	AirportExpress
Terminal	AirportExpress
Tian'anmenEast	Line1
Tian'anmenWest	Line1
Tiantandongmen	Line5
Tiantongyuan	Line5
TiantongyuanNorth	Line5
TiantongyuanSouth	Line5
TongzhouBeiyuan	Batong
Tuanjiehu	Line10
Tuqiao	Batong
Wangfujing	Line1,Line8
WangjingWest	Line13,Line15
Wanshoulu	Line1
Weigongcun	Line4
Wudaokou	Line13
Wukesong	Line1
Xidan	Line1,Line4
Xi'erqi	Line13
Xinjiekou	Line4
Xisi	Line4
Xitucheng	Line10
Xiyuan	Line4
Xizhimen	Line2,Line4,Line13
Xuanwumen	Line2,Line4
Yonganli	Line1
YonghegongLamaTemple	Line2,Line5
YuanmingyuanPark(OldSummerPalace)	Line4
Yuquanlu	Line1
Zhangzizhonglu	Line5
Zhichunli	Line10
Zhichunlu	Line10,Line13
Zhongguancun	Line4
