id	name	old_id
1	Adenauerplatz	1
2	AfrikanischeStrasse	2
3	Alexanderplatz	3
4	Alt-Mariendorf	4
5	Alt-Tegel	5
6	Alt-Tempelhof	6
7	AltstadtSpandau	7
8	AmrumerStrasse	8
9	AugsburgerStrasse	9
10	BayerischerPlatz	10
11	BerlinerStrasse	11
12	BernauerStrasse	12
13	Biesdorf-Sued	13
14	Birkenstrasse	14
15	Bismarckstrasse	15
16	Blaschkoallee	16
17	Blissestrasse	17
18	Boddinstrasse	18
19	Borsigwerke	19
20	Breitenbachplatz	20
21	BrandenburgerTor	21
22	Britz-Sued	22
23	Buelowstrasse	23
24	Bundestag	24
25	Bundesplatz	25
26	CottbusserPlatz	26
27	Dahlem-Dorf	27
28	DeutscheOper	28
29	EberswalderStrasse	29
30	EisenacherStrasse	30
31	ElsterwerdaerPlatz	31
32	Ernst-Reuter-Platz	32
33	FehrbellinerPlatz	33
34	FrankfurterAllee	34
35	FrankfurterTor	35
36	Franz-Neumann-Platz	36
37	FranzoesischeStrasse	37
38	Friedrichsfelde	38
39	Friedrichstrasse	39
40	Friedrich-Wilhelm-Platz	40
41	Gesundbrunnen	41
42	Gleisdreieck	42
43	Gneisenaustrasse	43
44	GoerlitzerBahnhof	44
45	Grenzallee	45
46	Guentzelstrasse	46
47	Halemweg	47
48	HalleschesTor	48
49	Hansaplatz	49
50	Haselhorst	50
51	Hauptbahnhof	51
52	Hausvogteiplatz	52
53	HeidelbergerPlatz	53
54	Heinrich-Heine-Strasse	54
55	Hellersdorf	55
56	Hermannplatz	56
57	Hermannstrasse	57
58	Hoenow	58
59	Hohenzollernplatz	59
60	HolzhauserStrasse	60
61	InnsbruckerPlatz	61
62	Jakob-Kaiser-Platz	62
63	Jannowitzbruecke	63
64	JohannisthalerChaussee	64
65	Jungfernheide	65
66	Kaiserdamm	66
67	Kaiserin-Augusta-Strasse	67
68	Karl-Bonhoeffer-Nervenklinik	68
69	Karl-Marx-Strasse	69
70	Kaulsdorf-Nord	70
71	Kleistpark	71
72	Klosterstrasse	72
73	Kochstrasse	73
74	KonstanzerStrasse	74
75	KottbusserTor	75
76	KrummeLanke	76
77	Kurfuerstendamm	77
78	Kurfuerstenstrasse	78
79	Kurt-Schumacher-Platz	79
80	Leinestrasse	80
81	Leopoldplatz	81
82	Lichtenberg	82
83	LindauerAllee	83
84	Lipschitzallee	84
85	Louis-Lewin-Strasse	85
86	Magdalenenstrasse	86
87	MaerkischesMuseum	87
88	Mehringdamm	88
89	Mendelssohn-Bartholdy-Park	89
90	Mierendorffplatz	90
91	Moeckernbruecke	91
92	Mohrenstrasse	92
93	Moritzplatz	93
94	Naturkundemuseum	94
95	NauenerPlatz	95
96	Neu-Westend	96
97	NeueGrottkauerStrasse	97
98	Neukoelln	98
99	Nollendorfplatz	99
100	Olympia-Stadion	100
101	OnkelTomsHuette	101
102	OranienburgerTor	102
103	Oskar-Helene-Heim	103
104	OsloerStrasse	104
105	Otisstrasse	105
106	Pankow	106
107	Pankstrasse	107
108	Paracelsus-Bad	108
109	Paradestrasse	109
110	ParchimerAllee	110
111	Paulsternstrasse	111
112	PlatzderLuftbruecke	112
113	Podbielskiallee	113
114	PotsdamerPlatz	114
115	Prinzenstrasse	115
116	RathausNeukoelln	116
117	RathausReinickendorf	117
118	RathausSchoeneberg	118
119	RathausSpandau	119
120	RathausSteglitz	120
121	Rehberge	121
122	ReinickendorferStrasse	122
123	Residenzstrasse	123
124	Richard-Wagner-Platz	124
125	Rohrdamm	125
126	Rosa-Luxemburg-Platz	126
127	RosenthalerPlatz	127
128	RuedesheimerPlatz	128
129	Rudow	129
130	Ruhleben	130
131	Samariterstrasse	131
132	Scharnweberstrasse	132
133	Schillingstrasse	133
134	SchlesischesTor	134
135	Schlossstrasse	135
136	SchoenhauserAllee	136
137	Schoenleinstrasse	137
138	Schwartzkopffstrasse	138
139	Seestrasse	139
140	Senefelderplatz	140
141	Siemensdamm	141
142	Sophie-Charlotte-Platz	142
143	Spichernstrasse	143
144	Spittelmarkt	144
145	Stadtmitte	145
146	StrausbergerPlatz	146
147	Suedstern	147
148	Tempelhof	148
149	Theodor-Heuss-Platz	149
150	Thielplatz	150
151	Tierpark	151
152	Turmstrasse	152
153	Uhlandstrasse	153
154	Ullsteinstrasse	154
155	Viktoria-Luise-Platz	155
156	Vinetastrasse	156
157	Voltastrasse	157
158	Walther-Schreiber-Platz	158
159	WarschauerStrasse	159
160	Weberwiese	160
161	Wedding	161
162	Weinmeisterstrasse	162
163	Westhafen	163
164	Westphalweg	164
165	WilmersdorferStrasse	165
166	Wittenau	166
167	Wittenbergplatz	167
168	Wuhletal	168
169	Wutzkyallee	169
170	Yorckstrasse	170
171	Zitadelle	171
172	ZoologischerGarten	172
173	ZwickauerDamm	173
