id	name	old_id
1	Abeno	1
2	Abiko	2
3	Asashiobashi	3
4	Awaza	4
5	Bentencho	5
6	Cosmosquare	6
7	Daido-Toyosato	7
8	Daikokucho	8
9	Dainichi	9
10	Deto	10
11	Dobutsuen-mae	11
12	Dome-maeChiyozaki	12
13	Ebisucho	13
14	Esaka	14
15	FerryTerminal	15
16	Fukaebashi	16
17	Fuminosato	17
18	GamoYonchome	18
19	Hanazonocho	19
20	Higashi-Mikuni	20
21	Higashi-Umeda	21
22	Higobashi	22
23	Hirabayashi	23
24	Hirano	24
25	Hommachi	25
26	Imafuku-Tsurumi	26
27	Imazato	27
28	Itakano	28
29	Kadoma-minami	29
30	Kire-Uriwari	30
31	Kishinosato	31
32	Kita-Tatsumi	32
33	Kitahama	33
34	Kitahanada	34
35	Kitakagaya	35
36	Komagawa-Nakano	36
37	Kujo	37
38	Kyobashi	38
39	Matsuyamachi	39
40	Midoribashi	40
41	Minami-Tatsumi	41
42	Minami-morimachi	42
43	Miyakojima	43
44	Moriguchi	44
45	Morinomiya	45
46	Nagahara	46
47	Nagahoribashi	47
48	Nagai	48
49	Nagata	49
50	Nakafuto	50
51	Nakamozu	51
52	Nakatsu	52
53	Nakazakicho	53
54	Namba	54
55	Nanko-higashi	55
56	Nankoguchi	56
57	Nippombashi	57
58	Nishi-Nagahori	58
59	Nishi-Umeda	59
60	Nishinakajima-Minamigata	60
61	Nishiohashi	61
62	Nishitanabe	62
63	Nodahanshin	63
64	Noe-Uchindai	64
65	Ogimachi	65
66	OsakaBusinessPark	66
67	Osakako	67
68	PortTown-higashi	68
69	PortTown-nishi	69
70	Sakaisuji-Hommachi	70
71	Sakuragawa	71
72	Sekime-Seiiku	72
73	Sekime-Takadono	73
74	Sembayashi-Omiya	74
75	Shigino	75
76	Shimizu	76
77	Shimmori-Furuichi	77
78	Shin-Fukae	78
79	Shin-Osaka	79
80	Shinkanaoka	80
81	Shinsaibashi	81
82	Shitennoji-maeYuhigaoka	82
83	Shoji	83
84	Showacho	84
85	Suminoekoen	85
86	Taishibashi-Imaichi	86
87	Taisho	87
88	Takaida	88
89	Tamade	89
90	Tamagawa	90
91	Tamatsukuri	91
92	Tanabe	92
93	TanimachiKyuchome	93
94	TanimachiRokuchome	94
95	TanimachiYonchome	95
96	Temmabashi	96
97	Tengachaya	97
98	TenjimbashisujiRokuchome	98
99	Tennoji	99
100	TradeCenter-mae	100
101	Tsuruhashi	101
102	Tsurumi-ryokuchi	102
103	Umeda	103
104	Yaominami	104
105	Yodoyabashi	105
106	Yokozutsumi	106
107	Yotsubashi	107
108	ZuikoYonchome	108
