id	name	old_id
1	Abbesses	1
2	Alesia	2
3	AlexandreDumas	3
4	AlmaMarceau	4
5	AnatoleFrance	5
6	Anvers	6
7	Argentine	7
8	ArtsetMetiers	9
9	AsnieresGennevilliersLesCourtilles	10
10	AssembleeNationale	11
11	AubervilliersPantinQuatreChemins	12
12	AvenueEmileZola	13
13	Avron	14
14	Balard	15
15	BarbesRochechouart	16
16	BasiliquedeSaintDenis	17
17	Bastille	18
18	BelAir	19
19	Belleville	20
20	Berault	21
21	Bercy	22
22	BibliothequeFrancoisMitterrand	23
23	Billancourt	24
24	BirHakeim	25
25	Blanche	26
26	BobignyPabloPicasso	27
27	BobignyPantinRaymondQueneau	28
28	Boissiere	29
29	Bolivar	30
30	BonneNouvelle	31
31	Botzaris	32
32	Boucicaut	33
33	BoulogneJeanJaures	34
34	BoulognePontdeSaintCloud	35
35	Bourse	36
36	BreguetSabin	37
37	Brochant	38
38	ButtesChaumont	39
39	Buzenval	40
40	Cadet	41
41	Cambronne	42
42	CampoFormio	43
43	CardinalLemoine	44
44	CarrefourPleyel	45
45	CensierDaubenton	46
46	ChampsElyseesClemenceau	47
47	ChardonLagache	48
48	CharentonEcoles	49
49	CharlesdeGaulleEtoile	50
50	CharlesMichels	51
51	Charonne	52
52	Chateaud'Eau	53
53	ChateaudeVincennes	54
54	ChateauLandon	55
55	ChateauRouge	56
56	Chatelet	57
57	ChatillonMontrouge	58
58	Chausseed'AntinLaFayette	59
59	CheminVert	60
60	Chevaleret	61
61	Cite	62
62	ClunyLaSorbonne	63
63	ColonelFabien	64
64	Commerce	65
65	Concorde	66
66	Convention	67
67	CorentinCariou	68
68	CorentinCelton	69
69	Corvisart	70
70	Courcelles	71
71	Couronnes	72
72	CourSaintEmilion	73
73	CreteilL'Echat	74
74	CreteilPrefecture	75
75	CreteilUniversite	76
76	Crimee	77
77	CroixdeChavaux	78
78	Danube	79
79	Daumesnil	80
80	DenfertRochereau	81
81	Dugommier	82
82	Dupleix	83
83	Duroc	84
84	EcoleMilitaire	85
85	EcoleVeterinairedeMaisonsAlfort	86
86	EdgarQuinet	87
87	Eglised'Auteuil	88
88	EglisedePantin	89
89	EsplanadedelaDefense	90
90	EtienneMarcel	91
91	Europe	92
92	Exelmans	93
93	FaidherbeChaligny	94
94	Falguiere	95
95	FelixFaure	96
96	FillesduCalvaire	97
97	Fortd'Aubervilliers	98
98	FranklinD.Roosevelt	99
99	GabrielPeri	100
100	Gaite	101
101	Gallieni	102
102	Gambetta	103
103	Gared'Austerlitz	104
104	Garedel'Est	105
105	GaredeLyon	106
106	GareduNord	107
107	Garibaldi	108
108	GeorgeV	109
109	Glaciere	110
110	Goncourt	111
111	GrandsBoulevards	112
112	GuyMoquet	113
113	HavreCaumartin	114
114	Hoche	115
115	HoteldeVille	116
116	Iena	117
117	Invalides	118
118	JacquesBonsergent	119
119	Jasmin	120
120	Jaures	121
121	JavelAndreCitroen	122
122	Jourdain	123
123	JulesJoffrin	124
124	Jussieu	125
125	Kleber	126
126	LaChapelle	127
127	LaCourneuve8Mai1945	128
128	LaDefense	129
129	LaFourche	130
130	LamarckCaulaincourt	131
131	LaMottePicquetGrenelle	132
132	LaMuette	133
133	LaTourMaubourg	134
134	Laumiere	135
135	LedruRollin	136
136	LeKremlinBicetre	137
137	LePeletier	138
138	LesAgnettes	139
139	LesGobelins	140
140	LesHalles	141
141	LesSablons	142
142	Liberte	143
143	Liege	144
144	LouisBlanc	145
145	LouiseMichel	146
146	Lourmel	147
147	LouvreRivoli	148
148	Mabillon	149
149	Madeleine	150
150	MairiedeClichy	151
151	MairiedeMontreuil	152
152	MairiedeSaintOuen	153
153	MairiedesLilas	154
154	Mairied'Issy	155
155	Mairied'Ivry	156
156	MaisonBlanche	157
157	MaisonsAlfortLesJuilliottes	158
