id	name	old_id
1	AerospaceMuseum	1
2	AnshanXincun	2
3	BaiyinRoad	4
4	BaoanHighway	5
5	BaoshanRoad	6
6	BaoyangRoad	7
7	Beiqiao	8
8	Beixinjing	9
9	BeiyangjingRoad	10
10	BoxingRoad	11
11	CaobaoRoad	12
12	CaohejingHi-TechPark	13
13	CaoxiRoad	14
14	CaoyangRoad	15
15	CenturyAvenue	16
16	CenturyPark	17
17	ChangpingRoad	18
18	ChangqingRoad	19
19	ChangshouRoad	20
20	ChangshuRoad	21
21	ChangzhongRoad	22
22	ChengshanRoad	23
23	ChifengRoad	24
24	ChuanchangRoad	25
25	ChunshenRoad	27
26	Dabaishu	28
27	DachangTown	29
28	DahuasanRoad	30
29	DalianRoad	31
30	DamuqiaoRoad	32
31	Dapuqiao	33
32	Dashijie	34
33	DepingRoad	35
34	DonganRoad	36
35	DongbaoxingRoad	37
36	DongchangRoad	38
37	DongchuanRoad	39
38	Dongjing	40
39	DongjingRoad	41
40	DongmingRoad	42
41	EastNanjingRoad	44
42	FanghuaRoad	47
43	FengqiaoRoad	48
44	FujinRoad	49
45	GangchengRoad	50
46	GaoqingRoad	51
47	GongfuXincun	52
48	GongkangRoad	53
49	GuilinRoad	56
50	HailunRoad	58
51	HangjinRoad	60
52	HanzhongRoad	62
53	HechuanRoad	63
54	HengshanRoad	64
55	HongkouFootballStadium	65
56	HongqiaoRoad	69
57	HuamuRoad	71
58	HuangxingPark	72
59	HuangxingRoad	73
60	HuaningRoad	74
61	HulanRoad	75
62	JiadingXincheng	76
63	JianchuanRoad	77
64	JiangpuRoad	78
65	JiangsuRoad	79
66	JiangwanTown	81
67	JiangyueRoad	82
68	JiashanRoad	84
69	JinganTemple	85
70	JinjiangPark	86
71	JinpingRoad	88
72	JinqiaoRoad	89
73	JinshajiangRoad	90
74	JinxiuRoad	91
75	Jiuting	92
76	JufengRoad	94
77	LancunRoad	95
78	LangaoRoad	96
79	Laoximen	97
80	LianhangRoad	98
81	LianhuaRoad	99
82	LingzhaoXincun	101
83	LinpingRoad	102
84	LinyiXincun	103
85	Liziyuan	104
86	LongcaoRoad	106
87	LongdeRoad	107
88	LongyangRoad	109
89	LoushanguanRoad	110
90	LubanRoad	111
91	LuhengRoad	112
92	LujiabangRoad	113
93	Lujiazui	114
94	MadangRoad	116
95	Malu	117
96	MiddleYanjiRoad	121
97	MinhangDevelopmentZone	122
98	MinshengRoad	123
99	NanchenRoad	124
100	NanpuBridge	125
101	Nanxiang	126
102	NenjiangRoad	127
103	NorthJiading	128
104	NorthJiangyangRoad	129
105	NorthWaigaoqiaoFreeTradeZone	131
106	NorthXizangRoad	132
107	NorthZhongshanRoad	133
108	OuterRingRoad	134
109	PengpuXincun	135
110	PeoplesSquare	136
111	PudianRoad	137
112	PudianRoad2	138
113	PudongAvenue	139
114	PujiangTown	141
115	Qibao	142
116	QilianshanRoad	143
117	QufuRoad	144
118	QuyangRoad	145
119	ShangchengRoad	147
120	ShangdaRoad	148
121	ShanghaiAutomobileCity	149
122	ShanghaiChildrensMedicalCenter	150
123	ShanghaiCircuit	151
124	ShanghaiCircusWorld	152
125	ShanghaiIndoorStadium	153
126	ShanghaiRailwayStation	155
127	ShanghaiScienceandTechnologyMuseum	156
128	ShanghaiSouthRailwayStation	157
129	ShanghaiStadium	158
130	ShanghaiUniversity	159
131	ShanghaiWestRailwayStation	160
132	ShangnanRoad	162
133	Sheshan	163
134	ShiguangRoad	164
135	ShilongRoad	165
136	ShuichanRoad	166
137	Sijing	168
138	SipingRoad	169
139	SongbinRoad	170
140	SongfaRoad	171
141	SongjiangUniversityTown	173
142	SongjiangXincheng	174
143	SouthChangjiangRoad	176
144	SouthHuangpiRoad	177
145	SouthLingyanRoad	178
146	SouthShaanxiRoad	179
147	SouthWaigaoqiaoFreeTradeZone	180
148	SouthXizangRoad	181
149	SouthYanggaoRoad	182
150	Tangqiao	183
151	TaopuXincun	185
152	TieliRoad	187
153	TongheXincun	188
154	WeiningRoad	190
155	WenjingRoad	191
156	WenshuiRoad	192
157	WestGaokeRoad	193
158	WestJiading	195
159	WestNanjingRoad	196
160	WestYananRoad	197
161	WestYingaoRoad	198
162	WestYouyiRoad	199
163	WulianRoad	201
164	WuweiRoad	202
165	WuzhouAvenue	203
166	XiangyinRoad	204
167	Xiaonanmen	205
168	XincunRoad	206
169	XingzhiRoad	207
170	XingzhongRoad	208
171	XinzhaRoad	211
172	Xinzhuang	212
173	Xujiahui	213
174	YanchangRoad	214
175	YangshupuRoad	215
176	Yangsi	216
177	YaohuaRoad	217
178	YinduRoad	219
179	YishanRoad	220
180	YouyiRoad	222
181	YuanshenStadium	224
182	YunshanRoad	225
183	YuntaiRoad	226
184	Zhanghuabang	228
185	ZhangjiangHi-TechPark	229
186	ZhaojiabangRoad	230
187	ZhenpingRoad	231
188	Zhenru	232
189	ZhongchunRoad	233
190	ZhongshanPark	234
191	ZhongtanRoad	235
192	ZhongxingRoad	236
193	ZhouhaiRoad	237
194	Zhuanqiao	238
