id	name	old_id
1	ActonTown	2
2	Aldgate	3
3	AldgateEast	4
4	Alperton	6
5	Amersham	7
6	Angel	8
7	Archway	9
8	ArnosGrove	10
9	Arsenal	11
10	BakerStreet	12
11	Balham	13
12	Bank	14
13	Barbican	15
14	Barking	16
15	Barkingside	17
16	BaronsCourt	18
17	Bayswater	19
18	Becontree	22
19	BelsizePark	23
20	Bermondsey	24
21	BethnalGreen	25
22	Blackfriars	26
23	BlackhorseRoad	27
24	BondStreet	29
25	Borough	30
26	BostonManor	31
27	BoundsGreen	32
28	BowRoad	34
29	BrentCross	35
30	Brixton	36
31	Bromley-by-Bow	37
32	BuckhurstHill	40
33	BurntOak	41
34	CaledonianRoad	42
35	CamdenTown	45
36	CanadaWater	46
37	CanaryWharf	47
38	CanningTown	48
39	CannonStreet	49
40	CanonsPark	51
41	ChalfontandLatimer	52
42	ChalkFarm	53
43	ChanceryLane	54
44	CharingCross	55
45	Chesham	56
46	Chigwell	57
47	ChiswickPark	58
48	Chorleywood	59
49	ClaphamCommon	60
50	ClaphamNorth	62
51	ClaphamSouth	63
52	Cockfosters	64
53	Colindale	65
54	ColliersWood	66
55	CoventGarden	67
56	Croxley	70
57	DagenhamEast	74
58	DagenhamHeathway	75
59	Debden	77
60	DollisHill	80
61	EalingBroadway	81
62	EalingCommon	82
63	Earl'sCourt	83
64	EastActon	84
65	EastFinchley	85
66	EastHam	86
67	EastPutney	88
68	Eastcote	89
69	Edgware	90
70	EdgwareRoad	91
71	ElephantandCastle	92
72	ElmPark	93
73	Embankment	95
74	Epping	96
75	Euston	97
76	EustonSquare	98
77	Fairlop	99
78	Farringdon	100
79	FinchleyCentral	101
80	FinchleyRoad	102
81	FinsburyPark	104
82	FulhamBroadway	105
83	GantsHill	107
84	GloucesterRoad	108
85	GoldersGreen	109
86	GoldhawkRoad	110
87	GoodgeStreet	111
88	GrangeHill	113
89	GreatPortlandStreet	114
90	GreenPark	115
91	Greenford	116
92	Gunnersbury	118
93	Hainault	121
94	Hammersmith	122
95	Hampstead	123
96	HangerLane	125
97	Harlesden	126
98	HarrowOnTheHill	128
99	HarrowandWealdstone	129
100	HattonCross	130
101	HeathrowTerminal123	131
102	HeathrowTerminal4	132
103	HeathrowTerminal5	133
104	HendonCentral	134
105	HighBarnet	136
106	HighStreetKensington	137
107	HighburyandIslington	138
108	Highgate	139
109	Hillingdon	140
110	Holborn	141
111	HollandPark	142
112	HollowayRoad	143
113	Hornchurch	145
114	HounslowCentral	146
115	HounslowEast	147
116	HounslowWest	148
117	HydeParkCorner	149
118	Ickenham	150
119	Kennington	153
120	KensalGreen	154
121	KensingtonOlympia	156
122	KentishTown	157
123	Kenton	159
124	KewGardens	160
125	Kilburn	161
126	KilburnPark	163
127	King'sCrossSt.Pancras	164
128	Kingsbury	166
129	Knightsbridge	167
130	LadbrokeGrove	168
131	LambethNorth	169
132	LancasterGate	170
133	LatimerRoad	172
134	LeicesterSquare	173
135	Leyton	175
136	LeytonStone	177
137	LiverpoolStreet	180
138	LondonBridge	181
139	Loughton	183
140	MaidaVale	184
141	ManorHouse	185
142	MansionHouse	186
143	MarbleArch	187
144	Marylebone	188
145	MileEnd	189
146	MillHillEast	190
147	Monument	191
148	MoorPark	192
149	Moorgate	193
150	Morden	194
151	MorningtonCrescent	195
152	Neasden	197
153	NewburyPark	198
154	NorthActon	199
155	NorthEaling	200
156	NorthGreenwich	201
157	NorthHarrow	202
158	NorthWembley	203
159	Northfields	204
160	Northolt	205
161	NorthwickPark	206
162	Northwood	207
